sourceAppName,externalShopId,externalDocumentId,externalDatalineId,lineNumber,datalineType,description,partNumber,cost,laborRate,quantityOrHours,subtotal,taxable
Tekmetric,15522,DOC-1001,LINE-5001,1,1,Synthetic Oil Change Service,JOB-OIL,0,150.00,1.0,150.00,1
Tekmetric,15522,DOC-1001,LINE-5002,2,2,5W-30 Synthetic Motor Oil,P-OIL-SYN,12.50,,5.0,62.50,1
Tekmetric,15522,DOC-1001,LINE-5003,3,2,Oil Filter,P-FILTER-01,13.00,,1.0,13.00,1
Tekmetric,15522,DOC-1002,LINE-5004,1,1,Brake Pad Replacement - Front,JOB-BRAKE-F,0,150.00,2.0,300.00,1
Tekmetric,15522,DOC-1002,LINE-5005,2,2,Front Brake Pads Set,P-PADS-F-25,180.00,,1.0,180.00,1
Tekmetric,15522,DOC-1002,LINE-5006,3,2,Brake Rotors - Front,P-ROTOR-F-12,35.00,,2.0,70.00,1
Tekmetric,15522,DOC-1003,LINE-5007,1,1,Tire Rotation and Balance,JOB-TIRE-ROT,0,150.00,1.0,150.00,1
Tekmetric,15522,DOC-1003,LINE-5008,2,2,Wheel Weights,P-WEIGHTS,2.15,,5.0,10.75,1
Tekmetric,15522,DOC-1003,LINE-5009,3,2,Tire Inspection Report,,115.00,,1.0,115.00,1
Tekmetric,15522,DOC-1004,LINE-5010,1,1,Check Engine Light Diagnostic,JOB-DIAG,0,75.00,0.5,75.00,1
Tekmetric,15522,DOC-1004,LINE-5011,2,2,Gas Cap,P-GASCAP-01,45.00,,1.0,45.00,1
Tekmetric,15522,DOC-1005,LINE-5012,1,1,AC System Recharge,JOB-AC-RCHG,0,150.00,3.0,450.00,1
Tekmetric,15522,DOC-1005,LINE-5013,2,2,R134a Refrigerant,P-R134A,25.25,,2.0,50.50,1
Tekmetric,15522,DOC-1005,LINE-5014,3,2,AC Compressor,P-ACCOMP-05,299.75,,1.0,299.75,1
Tekmetric,15522,DOC-1006,LINE-5015,1,1,Cabin Air Filter Replacement,JOB-CABINFIL,0,165.00,1.0,165.00,1
Tekmetric,15522,DOC-1006,LINE-5016,2,2,Cabin Air Filter,P-CABFIL-02,95.00,,1.0,95.00,1
Tekmetric,15522,DOC-1007,LINE-5017,1,1,Power Steering Fluid Flush,JOB-PSFLUSH,0,165.00,1.0,165.00,1
Tekmetric,15522,DOC-1007,LINE-5018,2,2,Power Steering Fluid,P-PSFLUID-03,20.25,,4.0,81.00,1
Tekmetric,15522,DOC-1007,LINE-5019,3,2,Serpentine Belt,P-SERPBELT-01,99.50,,1.0,99.50,1
Tekmetric,15522,DOC-1008,LINE-5020,1,1,Fuel Injection Service,JOB-FUELINJ,0,145.00,2.0,290.00,1
Tekmetric,15522,DOC-1008,LINE-5021,2,2,Fuel System Cleaner,P-FUELCLN-01,35.00,,2.0,70.00,1
Tekmetric,15522,DOC-1008,LINE-5022,3,2,Fuel Filter,P-FUELFIL-08,155.00,,1.0,155.00,1
Tekmetric,15522,DOC-1009,LINE-5023,1,1,Battery Test and Replacement,JOB-BATT,0,145.00,1.0,145.00,1
Tekmetric,15522,DOC-1009,LINE-5024,2,2,Car Battery,P-BATT-05,65.80,,1.0,65.80,1
Tekmetric,15522,DOC-1010,LINE-5025,1,1,Transmission Service,JOB-TRANS,0,145.00,4.0,580.00,1
Tekmetric,15522,DOC-1010,LINE-5026,2,2,Transmission Fluid,P-TRANSFLD-02,45.00,,12.0,540.00,1
Tekmetric,15522,DOC-1010,LINE-5027,3,2,Transmission Filter Kit,P-TRANSKIT-02,260.00,,1.0,260.00,1
Tekmetric,15522,DOC-1011,LINE-5028,1,1,Coolant Flush,JOB-COOLANT,0,160.00,1.0,160.00,0
Tekmetric,15522,DOC-1011,LINE-5029,2,2,Antifreeze/Coolant,P-COOLANT-05,25.00,,2.0,50.00,0
Tekmetric,15522,DOC-1011,LINE-5030,3,2,Distilled Water,P-WATER,5.00,,2.0,10.00,0
Tekmetric,15522,DOC-1011,LINE-5031,4,3,Waste Disposal Fee,,15.00,,1.0,15.00,0
Tekmetric,15522,DOC-1011,LINE-5032,5,2,Radiator Cap,P-RADCAP-01,90.00,,1.0,90.00,0
Tekmetric,15522,DOC-1012,LINE-5033,1,1,Replace Alternator,JOB-ALT,0,160.00,2.0,320.00,1
Tekmetric,15522,DOC-1012,LINE-5034,2,2,Alternator,P-ALT-12,450.00,,1.0,450.00,1
Tekmetric,15522,DOC-1013,LINE-5035,1,1,Headlight Bulb Replacement,JOB-HEADLIGHT,0,160.00,1.0,160.00,1
Tekmetric,15522,DOC-1013,LINE-5036,2,2,Halogen Bulb H11,P-BULB-H11,44.00,,2.0,88.00,1
Tekmetric,15522,DOC-1014,LINE-5037,1,1,Brake Fluid Flush,JOB-BRAKEFLUSH,0,150.00,2.0,300.00,1
Tekmetric,15522,DOC-1014,LINE-5038,2,2,DOT 4 Brake Fluid,P-BRAKEFLD-04,15.25,,2.0,30.50,1
Tekmetric,15522,DOC-1014,LINE-5039,3,2,Rear Brake Pads Set,P-PADS-R-25,290.00,,1.0,290.00,1
Tekmetric,15522,DOC-1015,LINE-5040,1,1,Four-Wheel Alignment,JOB-ALIGN,0,150.00,1.0,150.00,1
Tekmetric,15522,DOC-1015,LINE-5041,2,2,Alignment Shims,P-SHIMS,5.50,,10.0,55.00,1
Tekmetric,15522,DOC-1016,LINE-5042,1,1,Wiper Blade Replacement,JOB-WIPERS,0,150.00,0.5,75.00,1
Tekmetric,15522,DOC-1016,LINE-5043,2,2,Wiper Blades (Pair),P-WIPERS-01,25.00,,1.0,25.00,1
Tekmetric,15522,DOC-1017,LINE-5044,1,1,Suspension Check & Repair,JOB-SUSP,0,150.00,3.0,450.00,1
Tekmetric,15522,DOC-1017,LINE-5045,2,2,Front Strut Assembly,P-STRUT-F-12,205.00,,2.0,410.00,1
Tekmetric,15522,DOC-1018,LINE-5046,1,2,Truck Bed Cover,P-BEDCOVER-01,120.00,,1.0,120.00,1
Tekmetric,15522,DOC-1019,LINE-5047,1,1,Oil and Filter Change,JOB-OIL,0,150.00,1.0,150.00,1
Tekmetric,15522,DOC-1019,LINE-5048,2,2,Conventional Oil 5W-20,P-OIL-CONV,8.50,,5.0,42.50,1
Tekmetric,15522,DOC-1019,LINE-5049,3,2,Oil Filter,P-FILTER-04,30.00,,1.0,30.00,1
Tekmetric,15522,DOC-1020,LINE-5050,1,1,Exhaust System Repair,JOB-EXHAUST,0,150.00,4.0,600.00,1
Tekmetric,15522,DOC-1020,LINE-5051,2,2,Muffler,P-MUFFLER-05,350.00,,1.0,350.00,1
Tekmetric,15522,DOC-1020,LINE-5052,3,2,Exhaust Gasket Kit,P-EXHGASKET-05,200.00,,1.0,200.00,1
Tekmetric,15522,DOC-1021,LINE-5053,1,1,Tire Pressure Sensor Replacement,JOB-TPMS,0,165.00,1.0,165.00,1
Tekmetric,15522,DOC-1021,LINE-5054,2,2,TPMS Sensor,P-TPMS-06,75.00,,2.0,150.00,1
Tekmetric,15522,DOC-1022,LINE-5055,1,1,Windshield Chip Repair,JOB-WSHIELD-CHIP,0,165.00,0.5,82.50,1
Tekmetric,15522,DOC-1022,LINE-5056,2,2,Repair Resin Kit,P-RESIN,25.00,,1.0,25.00,1
Tekmetric,15522,DOC-1023,LINE-5057,1,1,Timing Belt Replacement,JOB-TIMINGBELT,0,145.00,3.0,435.00,1
Tekmetric,15522,DOC-1023,LINE-5058,2,2,Timing Belt Kit,P-TIMINGKIT-08,400.00,,1.0,400.00,1
Tekmetric,15522,DOC-1023,LINE-5059,3,2,Water Pump,P-WATERPUMP-08,200.00,,1.0,200.00,1
Tekmetric,15522,DOC-1024,LINE-5060,1,1,Check Tire Pressure,JOB-TIREPRESS,0,145.00,0.5,72.50,1
Tekmetric,15522,DOC-1024,LINE-5061,2,2,Valve Stem Cap,P-VALVECAP,1.55,,10.0,15.50,1
Tekmetric,15522,DOC-1025,LINE-5062,1,1,Radiator Replacement,JOB-RAD,0,145.00,2.0,290.00,1
Tekmetric,15522,DOC-1025,LINE-5063,2,2,Radiator,P-RAD-10,280.00,,1.0,280.00,1
Tekmetric,15522,DOC-1026,LINE-5064,1,1,Differential Fluid Change,JOB-DIFF,0,160.00,2.0,320.00,0
Tekmetric,15522,DOC-1026,LINE-5065,2,2,75W-90 Gear Oil,P-GEAROIL,40.00,,8.0,320.00,0
Tekmetric,15522,DOC-1027,LINE-5066,1,1,Air Filter Replacement,JOB-AIRFIL,0,160.00,1.0,160.00,1
Tekmetric,15522,DOC-1027,LINE-5067,2,2,Engine Air Filter,P-AIRFIL-12,95.00,,1.0,95.00,1
Tekmetric,15522,DOC-1028,LINE-5068,1,1,Spark Plug Replacement,JOB-SPARKPLUG,0,160.00,2.0,320.00,1
Tekmetric,15522,DOC-1028,LINE-5069,2,2,Iridium Spark Plugs,P-SPARKPLUG-IR,62.69,,4.0,250.75,1
Tekmetric,15522,DOC-1029,LINE-5070,1,1,Thermostat Replacement,JOB-THERMO,0,150.00,1.0,150.00,1
Tekmetric,15522,DOC-1029,LINE-5071,2,2,Thermostat & Gasket,P-THERMO-14,80.00,,1.0,80.00,1
Tekmetric,15522,DOC-1030,LINE-5072,1,1,Ball Joint Replacement,JOB-BALLJOINT,0,150.00,3.0,450.00,1
Tekmetric,15522,DOC-1030,LINE-5073,2,2,Lower Ball Joint,P-BALLJOINT-L,212.50,,2.0,425.00,1
Tekmetric,15522,DOC-1031,LINE-5074,1,1,Brake Caliper Service,JOB-CALIPER,0,150.00,1.0,150.00,1
Tekmetric,15522,DOC-1031,LINE-5075,2,2,Caliper Pin Kit,P-CALIPERPIN,47.50,,2.0,95.00,1
Tekmetric,15522,DOC-1032,LINE-5076,1,1,Wheel Bearing Replacement,JOB-WBEARING,0,150.00,2.0,300.00,1
Tekmetric,15522,DOC-1032,LINE-5077,2,2,Front Wheel Hub Assembly,P-WHUB-F,180.00,,1.0,180.00,1
Tekmetric,15522,DOC-1033,LINE-5078,1,1,Replace Fuel Pump,JOB-FUELPUMP,0,150.00,1.0,150.00,1
Tekmetric,15522,DOC-1033,LINE-5079,2,2,Fuel Pump Module,P-FUELPUMP-M-03,220.00,,1.0,220.00,1
Tekmetric,15522,DOC-1034,LINE-5080,1,1,Fuse Replacement,JOB-FUSE,0,150.00,0.5,75.00,1
Tekmetric,15522,DOC-1034,LINE-5081,2,2,10A Blade Fuse,P-FUSE-10A,7.00,,5.0,35.00,1
Tekmetric,15522,DOC-1035,LINE-5082,1,1,Shocks and Struts Inspection,JOB-SHOCKS,0,150.00,2.0,300.00,1
Tekmetric,15522,DOC-1035,LINE-5083,2,2,Rear Shock Absorber,P-SHOCK-R-05,62.50,,2.0,125.00,1
Tekmetric,15522,DOC-1036,LINE-5084,1,1,Washer Fluid Refill,JOB-WASHER,0,165.00,0.5,82.50,1
Tekmetric,15522,DOC-1036,LINE-5085,2,2,Washer Fluid,P-WASHER,10.00,,4.0,40.00,1
Tekmetric,15522,DOC-1037,LINE-5086,1,1,Catalytic Converter Replacement,JOB-CAT,0,165.00,2.0,330.00,1
Tekmetric,15522,DOC-1037,LINE-5087,2,2,Catalytic Converter,P-CAT-07,450.00,,1.0,450.00,1
Tekmetric,15522,DOC-1038,LINE-5088,1,1,Oxygen Sensor Replacement,JOB-O2,0,145.00,1.0,145.00,1
Tekmetric,15522,DOC-1038,LINE-5089,2,2,Oxygen Sensor,P-O2-08,90.00,,1.0,90.00,1
Tekmetric,15522,DOC-1039,LINE-5090,1,1,CV Axle Replacement,JOB-CVAXLE,0,145.00,1.0,145.00,1
Tekmetric,15522,DOC-1039,LINE-5091,2,2,CV Axle Assembly,P-CVAXLE-09,180.00,,1.0,180.00,1
Tekmetric,15522,DOC-1040,LINE-5092,1,1,Ignition Coil Replacement,JOB-IGNCOIL,0,145.00,2.0,290.00,1
Tekmetric,15522,DOC-1040,LINE-5093,2,2,Ignition Coil,P-IGNCOIL-10,55.00,,4.0,220.00,1
Tekmetric,15522,DOC-1041,LINE-5094,1,1,State Inspection,JOB-INSPECT,0,160.00,1.0,160.00,0
Tekmetric,15522,DOC-1041,LINE-5095,2,2,Inspection Sticker,P-STICKER,75.00,,1.0,75.00,0
Tekmetric,15522,DOC-1042,LINE-5096,1,1,Headlight Restoration,JOB-HEADRESTO,0,160.00,0.5,80.00,1
Tekmetric,15522,DOC-1042,LINE-5097,2,2,Restoration Kit,P-RESTOKIT,12.00,,1.0,12.00,1
Tekmetric,15522,DOC-1043,LINE-5098,1,1,Mass Airflow Sensor Cleaning,JOB-MAF,0,160.00,2.0,320.00,1
Tekmetric,15522,DOC-1043,LINE-5099,2,2,MAF Sensor Cleaner Spray,P-MAFCLN,15.00,,2.0,30.00,1
Tekmetric,15522,DOC-1043,LINE-5100,3,2,New Mass Airflow Sensor,P-MAF-13,270.00,,1.0,270.00,1
Tekmetric,15522,DOC-1044,LINE-5101,1,1,EGR Valve Replacement,JOB-EGR,0,150.00,3.0,450.00,1
Tekmetric,15522,DOC-1044,LINE-5102,2,2,EGR Valve,P-EGR-14,500.00,,1.0,500.00,1
Tekmetric,15522,DOC-1045,LINE-5103,1,1,Transfer Case Fluid Change,JOB-TCASE,0,150.00,1.0,150.00,1
Tekmetric,15522,DOC-1045,LINE-5104,2,2,Transfer Case Fluid,P-TCASE-FL,75.00,,2.0,150.00,1
Tekmetric,15522,DOC-1046,LINE-5105,1,1,Tire Patch Repair,JOB-TIREPATCH,0,150.00,0.5,75.00,1
Tekmetric,15522,DOC-1046,LINE-5106,2,2,Tire Plug Kit,P-PLUGKIT,85.00,,1.0,85.00,1
Tekmetric,15522,DOC-1047,LINE-5107,1,1,PCV Valve Replacement,JOB-PCV,0,150.00,1.0,150.00,1
Tekmetric,15522,DOC-1047,LINE-5108,2,2,PCV Valve,P-PCV-02,125.00,,1.0,125.00,1
Tekmetric,15522,DOC-1048,LINE-5109,1,1,Glove Box Latch Repair,JOB-GLOVEBOX,0,150.00,0.5,75.00,1
Tekmetric,15522,DOC-1048,LINE-5110,2,2,Latch Assembly,P-LATCH-03,25.00,,1.0,25.00,1
Tekmetric,15522,DOC-1049,LINE-5111,1,1,Window Motor Replacement,JOB-WINMOTOR,0,150.00,2.0,300.00,1
Tekmetric,15522,DOC-1049,LINE-5112,2,2,Window Regulator & Motor,P-WINMOTOR-04,290.00,,1.0,290.00,1
Tekmetric,15522,DOC-1050,LINE-5113,1,1,Horn Replacement,JOB-HORN,0,150.00,1.0,150.00,1
Tekmetric,15522,DOC-1050,LINE-5114,2,2,High-Tone Horn,P-HORN-HI,97.50,,2.0,195.00,1